individual_1 individual_2 pedigree-relationship pedigree-degree kin kin0 ibs0 ibs1 ibs2 ibs02 ibs12 ibs01 j1 j2 j3 j4 j5 j6 j7 j8 j9
fam_1_Test1_g2-b3-s15 fam_1_Test1_g4-b1-i49 UN 0.0000 -0.00500091394397289 -0.0351891956329535 0.0317681770502307 0.244098584004644 0.724133238945126 0.755901415995356 0.968231822949769 0.275866761054874 0.0425298106551885 0.0315993806204474 0.0159099247133475 0.0332098363535837 0.0616985399108824 0.0992040731611954 0.0158582523368832 0.080085293869417 0.619904888379055
fam_1_Test1_g2-b2-s6 fam_1_Test1_g4-b1-i1 UN 0.0000 -0.00513027330194519 -0.0343797749687457 0.0319680474534585 0.243171417696186 0.724860534850356 0.756828582303814 0.968031952546542 0.275139465149644 0.0423726040326484 0.0319628804828017 0.0153372912328564 0.0328412654944533 0.0620518729407469 0.0987959236046165 0.0166307562206021 0.0795713481143141 0.620436057876961
fam_1_Test1_g2-b3-s15 fam_1_Test1_g4-b1-i8 UN 0.0000 -0.00732911623893951 -0.037319473966507 0.0317990651791281 0.245466256548741 0.722734678272131 0.754533743451259 0.968200934820872 0.277265321727869 0.0422374389903659 0.0320091759867458 0.0159787546973543 0.0335402293307799 0.0609063009131209 0.0994426896938927 0.0158203104817737 0.0804741615373222 0.619590938368645
fam_1_Test1_g2-b1-s2 fam_1_Test1_g3-b30-i1 UN 0.0000 -0.00182504808299757 -0.0335149253731343 0.0313536099537894 0.243982549177321 0.72466384086889 0.756017450822679 0.968646390046211 0.27533615913111 0.0430638491361567 0.0318341448459619 0.0158300938851504 0.0333325869828437 0.0620355044669077 0.0995895646422771 0.015523516068639 0.0792262527062382 0.619564487265825
fam_1_Test1_g2-b3-s17 fam_1_Test1_g4-b1-i33 UN 0.0000 -0.00902886991687261 -0.0357818504286137 0.0322320625833187 0.245693263199231 0.72207467421745 0.754306736800769 0.967767937416681 0.27792532578255 0.0423439809025804 0.0322079496798151 0.0161883700021702 0.0329571720386771 0.0611417115338907 0.0990764757958119 0.0160436925811485 0.081451665684927 0.618588981780979
fam_1_Test1_g2-b3-s1 fam_1_Test1_g4-b1-i36 UN 0.0000 -0.00561869013111843 -0.0364534008553229 0.0314623887784663 0.244894057506226 0.723643553715307 0.755105942493774 0.968537611221534 0.276356446284693 0.0425371771862804 0.0319980433966359 0.0159576850075267 0.0337841329112398 0.0608648324658369 0.0991994460883434 0.0155047037709396 0.0799124351100073 0.62024154406319
fam_1_Test1_g2-b3-s3 fam_1_Test1_g2-b3-s6 UN 0.0000 -0.00599798649153239 -0.0387799575234778 0.0320557647326304 0.240560334285252 0.727383900982118 0.759439665714748 0.96794423526737 0.272616099017882 0.0435631831507005 0.0323571864094994 0.0159891281507177 0.0336610504631559 0.0619257917055644 0.0977054059547144 0.0160666365819126 0.0768366914578819 0.621894926125853
fam_1_Test1_g2-b3-s16 fam_1_Test1_g2-b6-i1 UN 0.0000 0.00114463516506106 -0.0267270467057361 0.0312121561865322 0.243020373429616 0.725767470383851 0.756979626570384 0.968787843813468 0.274232529616149 0.0429156381188298 0.0319752769542696 0.0158894491232724 0.033480847046826 0.0628463543326483 0.0977845381052211 0.0153227070632598 0.0797797113232996 0.620005477932373
fam_1_Test1_g2-b2-s3 fam_1_Test1_g2-b3-s1 UN 0.0000 -0.00899397399001512 -0.0406753626107977 0.0319221495005167 0.242123665173958 0.725954185325525 0.757876334826042 0.968077850499483 0.274045814674475 0.0433379262831554 0.0321184981054082 0.0162659317946951 0.0333672063382708 0.0605769893213917 0.0983379262831554 0.0156562177058216 0.0783000344471237 0.622039269720978
fam_1_Test1_g2-b2-s6 fam_1_Test1_g4-b1-i44 UN 0.0000 -0.00651719319961366 -0.0359159051899475 0.0320182154193801 0.244058373391985 0.723923411188635 0.755941626608015 0.96798178458062 0.276076588811365 0.0422161634289631 0.0325745297593725 0.0161451722077068 0.0337663858685824 0.0616423846078328 0.0983384630223197 0.0158730432116733 0.07937899474171 0.620064863151839
fam_1_Test1_g2-b2-s5 fam_1_Test1_g4-b1-i40 UN 0.0000 -0.0255844454230408 -0.0637340972799803 0.0341654969299794 0.241567992559614 0.724266510510407 0.758432007440386 0.965834503070021 0.275733489489593 0.0432920265580462 0.0306984835045598 0.0164997459590262 0.0339467633457627 0.0591252378943017 0.0990122542476512 0.0176657509709532 0.0779104914616398 0.621849246058059
fam_1_Test1_g2-b1-s2 fam_1_Test1_g2-b2-s3 UN 0.0000 -0.011313416169053 -0.037600493512696 0.0325700192550799 0.241945761987923 0.725484218756997 0.758054238012077 0.96742998074492 0.274515781243003 0.0430552541567205 0.0324012359074516 0.0167302187638859 0.0330195340890694 0.0610220692838419 0.0968523627946389 0.015839800491194 0.0796726291967635 0.621406895316434
fam_1_Test1_g2-b3-s7 fam_1_Test1_g2-b9-i1 UN 0.0000 0.000408905683789005 -0.032340214549716 0.0310331879594607 0.242038885788498 0.726927926252041 0.757961114211502 0.968966812040539 0.273072073747959 0.0427595543705174 0.0317376656125338 0.015920505983754 0.0336392385440566 0.0622162281336337 0.0986527080189882 0.0151126819757067 0.0780092736129197 0.62195214374789
fam_1_Test1_g2-b3-s9 fam_1_Test1_g3-b14-i1 UN 0.0000 -0.00134145999457807 -0.0295587175258953 0.031303230562287 0.244259926181213 0.7244368432565 0.755740073818787 0.968696769437713 0.2755631567435 0.0430994245717012 0.0322298406334017 0.0161519502730744 0.0335198609740429 0.0621121542650759 0.0984273463644333 0.0151512802892126 0.0800828782093346 0.619225264419723
fam_1_Test1_g2-b3-s10 fam_1_Test1_g4-b1-i34 UN 0.0000 -0.00634382498368261 -0.0392218143995839 0.0318120521021168 0.244185185376549 0.724002762521335 0.755814814623451 0.968187947897883 0.275997237478665 0.0425572956225059 0.0318086075617994 0.0163529551572519 0.0344832931183251 0.0612973172197737 0.0987911385755792 0.015459096944865 0.0791021461208448 0.620148149679055
