individual_1 individual_2 pedigree-relationship pedigree-degree kin kin0 ibs0 ibs1 ibs2 ibs02 ibs12 ibs01 j1 j2 j3 j4 j5 j6 j7 j8 j9
fam_1_Test1_g2-b3-s15 fam_1_Test1_g4-b1-i49 UN 0.0000 -0.00565573323956636 -0.00724086880489649 0.0310077919930554 0.227681554816086 0.741310653190859 0.772318445183914 0.968992208006945 0.258689346809141 0.043362338011285 0.0317415207820929 0.0151740625150707 0.0323908535367106 0.0600486396737146 0.0819933309909128 0.0158337294779847 0.0815558495063693 0.637899675505859
fam_1_Test1_g2-b2-s6 fam_1_Test1_g4-b1-i1 UN 0.0000 -0.00607246340919785 -0.00685322247797449 0.0313044676380421 0.226728324894079 0.741967207467879 0.773271675105921 0.968695532361958 0.258032792532121 0.0430953119079605 0.0320106093486273 0.0146188557059695 0.0320536667700045 0.0604973993317488 0.0815783128380008 0.0166856119320726 0.0810857359374462 0.63837449622817
fam_1_Test1_g2-b3-s15 fam_1_Test1_g4-b1-i8 UN 0.0000 -0.00841439664613448 -0.00957851551635081 0.0310910547120577 0.229060344307896 0.739848600980046 0.770939655692104 0.968908945287942 0.260151399019954 0.0430324586408536 0.0321055487137973 0.0152191324267764 0.0326791081409268 0.0592574730659593 0.0822480773702386 0.0158719222852812 0.0820276100829336 0.637558669273233
fam_1_Test1_g2-b1-s2 fam_1_Test1_g3-b30-i1 UN 0.0000 -0.00289506502761447 -0.00557219474820647 0.030702456919937 0.227235383780712 0.742062159299351 0.772764616219288 0.969297543080063 0.257937840700648 0.0438938693259617 0.0319149852309229 0.0151738273008328 0.0325109153383109 0.060397344149637 0.0820282291747401 0.0155286296191042 0.0807812540367375 0.637770945823753
fam_1_Test1_g2-b3-s17 fam_1_Test1_g4-b1-i33 UN 0.0000 -0.00964588913157349 -0.0111107807280981 0.0314733857660097 0.229405016587604 0.739121597646386 0.770594983412396 0.96852661423399 0.260878402353614 0.0430588713539137 0.0322140576070443 0.0154214767274018 0.0322209475776586 0.0595844658722531 0.0819820378466086 0.0160519090386079 0.0829879735562928 0.636478260420219
fam_1_Test1_g2-b3-s1 fam_1_Test1_g4-b1-i36 UN 0.0000 -0.00572290801157487 -0.00777193034915125 0.0306558481037948 0.228348952045015 0.74099519985119 0.771651047954985 0.969344151896205 0.25900480014881 0.0433201804318584 0.0321215555444561 0.0151496623361413 0.032975833911751 0.0593258434707125 0.0818987714581464 0.0155061857676535 0.0813527911306615 0.638349175948619
fam_1_Test1_g2-b3-s3 fam_1_Test1_g2-b3-s6 UN 0.0000 -0.00595588749213703 -0.0100298934103651 0.0312317536320499 0.224183811434821 0.744584434933129 0.775816188565179 0.96876824636795 0.255415565066871 0.0444750643736167 0.0323995211808576 0.0151758110214521 0.0327612190942051 0.0604087186420827 0.0807085834359579 0.0160559426105977 0.0783144877238006 0.63970065191743
fam_1_Test1_g2-b3-s16 fam_1_Test1_g2-b6-i1 UN 0.0000 0.00161170283551266 0.0011863771347389 0.0303919744792851 0.226787449099816 0.742820576420899 0.773212550900184 0.969608025520715 0.257179423579101 0.0436501374563344 0.0320955373199115 0.0150943591227599 0.0327707614185218 0.061347209877564 0.0807719602857989 0.0152976153565252 0.0811491900755838 0.637823229087001
fam_1_Test1_g2-b2-s3 fam_1_Test1_g2-b3-s1 UN 0.0000 -0.00931873064860369 -0.0119554816941129 0.0311628635940113 0.225518275932742 0.743318860473247 0.774481724067258 0.968837136405989 0.256681139526753 0.0442228831935132 0.0321187268246223 0.0154643170228047 0.0324252919688544 0.0591222936584072 0.0812190959083887 0.0156985465712066 0.0797551612308763 0.639973683621327
fam_1_Test1_g2-b2-s6 fam_1_Test1_g4-b1-i44 UN 0.0000 -0.00629993016586844 -0.00710614824442168 0.031144562231427 0.227550097741188 0.741305340027385 0.772449902258812 0.968855437768573 0.258694659972615 0.0430853491556367 0.0326412510872092 0.0153044616484245 0.0329168209570886 0.0600983439973132 0.0811346589392282 0.0158401005830025 0.0808573667576621 0.638121646874435
fam_1_Test1_g2-b2-s5 fam_1_Test1_g4-b1-i40 UN 0.0000 -0.0271522743254934 -0.0349108811269225 0.0334132495590829 0.22527591765873 0.741310832782187 0.77472408234127 0.966586750440917 0.258689167217813 0.0441433807319224 0.0307453565917108 0.0158058449074074 0.0331704006834215 0.05758274085097 0.0819365217151675 0.0176074046516755 0.0794236386684303 0.639584711199294
fam_1_Test1_g2-b1-s2 fam_1_Test1_g2-b2-s3 UN 0.0000 -0.0127503641888476 -0.0159193480144258 0.0318717620149912 0.225337921626984 0.742790316358025 0.774662078373016 0.968128237985009 0.257209683641975 0.0438781415343915 0.0324332423941799 0.0160555831128748 0.032233451829806 0.0593567432760141 0.0793788580246914 0.0158161789021164 0.0812923693783069 0.639555431547619
fam_1_Test1_g2-b3-s7 fam_1_Test1_g2-b9-i1 UN 0.0000 0.000982674164106585 -0.00353308226998661 0.0301982210402298 0.22558580966095 0.74421596929882 0.77441419033905 0.96980177895977 0.25578403070118 0.043611040298744 0.0316071957613631 0.0151835112063442 0.0328852632956918 0.0607374897513452 0.0814638868410718 0.0150147098338857 0.0796294637628237 0.639867439248731
fam_1_Test1_g2-b3-s9 fam_1_Test1_g3-b14-i1 UN 0.0000 -0.00086923023735912 -0.00104244891506267 0.0303906134274012 0.227798695773493 0.741810690799106 0.772201304226507 0.969609386572599 0.258189309200894 0.0441166845225587 0.0323938033739024 0.0153348238122961 0.0326056626717697 0.0604780785911873 0.0812334000489171 0.0150557896151051 0.081565829678904 0.63721592768536
fam_1_Test1_g2-b3-s10 fam_1_Test1_g4-b1-i34 UN 0.0000 -0.00671903611109733 -0.0106135613561356 0.0310312878871377 0.227579425217679 0.741389286895183 0.772420574782321 0.968968712112862 0.258610713104816 0.0433979940482751 0.031861360630442 0.0156301664278629 0.0336988868070098 0.059730794665491 0.0814142924060399 0.0154011214592748 0.0806048853741872 0.638260498181417
fam_1_Test1_g2-b2-i1 fam_1_Test1_g2-b2-s5 UN 0.0000 -0.0190056645710931 -0.0310408024970225 0.0325190229653436 0.226244975147 0.741236001887657 0.773755024853 0.967480977034656 0.258763998112343 0.0441618700203578 0.0339864350497921 0.0167770670359309 0.0303988536273669 0.0585139180247118 0.0788337863020871 0.0157419559294127 0.0830259001677534 0.638560213842587
fam_1_Test1_g2-b1-s3 fam_1_Test1_g3-b21-i1 UN 0.0000 0.00360133426482598 0.00316134687164538 0.0300680907210244 0.227319313270714 0.742612596008261 0.772680686729286 0.969931909278976 0.257387403991739 0.0434123562352187 0.0322935703962973 0.014978925120877 0.0320506968404045 0.061397056923705 0.0817639854689268 0.0150891656001474 0.0812110605650858 0.637803182849337
fam_1_Test1_g2-b3-s14 fam_1_Test1_g3-b29-i1 UN 0.0000 0.00138122223473921 0.00107575891238076 0.0301593042280203 0.230009472143288 0.739831223628692 0.769990527856712 0.96984069577198 0.260168776371308 0.0429897528631706 0.0320640661327822 0.0151537070524412 0.032611728235598 0.0608042710755188 0.0825006458279514 0.0150055971755791 0.082833031946956 0.636037199690003
fam_1_Test1_g2-b3-s13 fam_1_Test1_g3-b8-i1 UN 0.0000 -0.0128554791316206 -0.0148078575568035 0.0320543292548501 0.226741622574956 0.741204048170194 0.773258377425044 0.96794567074515 0.258795951829806 0.0433562748015873 0.0319578786375661 0.0155009920634921 0.0325520833333333 0.059659873787478 0.0814749366181658 0.016553337191358 0.0807567239858906 0.638187899581129
fam_1_Test1_g2-b3-s1 fam_1_Test1_g4-b1-i44 UN 0.0000 -0.00851841188209247 -0.010632464658146 0.0311019865450925 0.228461297334165 0.740436716120743 0.771538702665835 0.968898013454907 0.259563283879257 0.0431583552357365 0.0321543352979473 0.0157335611412903 0.0333100243538648 0.0592484404225929 0.0816388394195031 0.0153684254038022 0.0813580982628495 0.638029920462413
fam_1_Test1_g2-b1-s5 fam_1_Test1_g2-b11-i1 UN 0.0000 -0.000108375451974896 -0.0035813847359597 0.0303344505799233 0.228376455836609 0.741289093583468 0.771623544163391 0.969665549420077 0.258710906416532 0.0433418188958205 0.0324064664808799 0.0148520308511628 0.033668966610058 0.0606310089322315 0.0817249230960017 0.0154824197287605 0.0805760996496691 0.637316265755416
fam_1_Test1_g2-b2-s6 fam_1_Test1_g3-b7-i1 UN 0.0000 -0.00432695157370636 -0.00647843168379703 0.031234338483371 0.226748621786537 0.742017039730092 0.773251378213463 0.968765661516629 0.257982960269908 0.0430987715343163 0.032174675316847 0.0152417233997482 0.0327826220242042 0.0609600046844619 0.0813322471811423 0.0159926150836228 0.0804590772643431 0.637958263511314
fam_1_Test1_g2-b3-s14 fam_1_Test1_g4-b1-i34 UN 0.0000 0.000933560008254636 -0.00015264920228486 0.030262740937711 0.228802992518703 0.740934266543586 0.771197007481297 0.969737259062289 0.259065733456414 0.0434238988164947 0.0320882875683719 0.0153914247530345 0.0323345641421309 0.0608527024978989 0.081686322866866 0.0148713161846764 0.0826938179413345 0.636657665229192
fam_1_Test1_g2-b3-s4 fam_1_Test1_g4-b1-i13 UN 0.0000 -0.00763275434243176 -0.0102714783146595 0.0312641025199373 0.227314535714901 0.741421361765162 0.772685464285099 0.968735897480063 0.258578638234838 0.0434969082108962 0.0321856106929397 0.0151557951668188 0.0327057891382607 0.0598790843481406 0.0800540847787519 0.0161083073531185 0.0823690511049486 0.638045369206125
fam_1_Test1_g2-b3-s1 fam_1_Test1_g4-b1-i19 UN 0.0000 -0.00678094177537385 -0.00810455170763802 0.0306731032534845 0.228437979536338 0.740888917210177 0.771562020463662 0.969326896746515 0.259111082789823 0.0433332931477217 0.0322902870802685 0.0150696043496906 0.0328861822922677 0.0589970704689144 0.0817840344861437 0.0156034989037939 0.0814774756776586 0.638558553593541
fam_1_Test1_g2-b3-s4 fam_1_Test1_g4-b1-i16 UN 0.0000 -0.00304185133875969 -0.00381930042859113 0.0307432327679762 0.228559665677895 0.740697101554129 0.771440334322105 0.969256767232024 0.259302898445871 0.0434784106608236 0.0323573084727778 0.0151037521661688 0.033204827412759 0.0604236216620329 0.0813445922434791 0.0156394806018074 0.0816529375488788 0.636795069231273
fam_1_Test1_g1-b1-s1 fam_1_Test1_g2-b3-s17 UN 0.0000 -0.00679451296100325 -0.00867100796124598 0.0314948559263208 0.227069557384024 0.741435586689655 0.772930442615976 0.968505144073679 0.258564413310344 0.0433021973195354 0.0322096694461143 0.0158361337373034 0.0320563720888574 0.0606230762473496 0.0821208775498604 0.0156587221890174 0.0806826382991917 0.637510313122771
fam_1_Test1_g1-b1-s1 fam_1_Test1_g2-b2-s4 UN 0.0000 -0.00632754955756587 -0.00840853361924332 0.0312471473328315 0.227837897887864 0.740914954779305 0.772162102112136 0.968752852667168 0.259085045220695 0.0428472761657397 0.0320256563502739 0.0156700775236524 0.0325940368276102 0.0602896673596316 0.0820379712606162 0.0155770698091792 0.0811802334493633 0.637778011253933
fam_1_Test1_g2-b3-s7 fam_1_Test1_g4-b1-i43 UN 0.0000 -0.0091392695538149 -0.013282157593238 0.0315764997674779 0.226798601422691 0.741624898809831 0.773201398577309 0.968423500232522 0.258375101190169 0.0432835563823008 0.0319640365834754 0.0159182900153292 0.032577205945676 0.0599838095730205 0.0822215332678827 0.0156582097521487 0.0800358256256567 0.63835753285451
