individual_1 individual_2 pedigree.relationship pedigree.degree kin kin0 ibs0 ibs1 ibs2 ibs02 ibs12 ibs01 j1 j2 j3 j4 j5 j6 j7 j8 j9
Test1_g2-b3-s15 Test1_g4-b1-i49 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-s6 Test1_g4-b1-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s15 Test1_g4-b1-i8 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s2 Test1_g3-b30-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s17 Test1_g4-b1-i33 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s1 Test1_g4-b1-i36 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s3 Test1_g2-b3-s6 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s16 Test1_g2-b6-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-s3 Test1_g2-b3-s1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-s6 Test1_g4-b1-i44 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-s5 Test1_g4-b1-i40 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s2 Test1_g2-b2-s3 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s7 Test1_g2-b9-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s9 Test1_g3-b14-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s10 Test1_g4-b1-i34 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-i1 Test1_g2-b2-s5 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s3 Test1_g3-b21-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s14 Test1_g3-b29-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s13 Test1_g3-b8-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s1 Test1_g4-b1-i44 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s5 Test1_g2-b11-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-s6 Test1_g3-b7-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s14 Test1_g4-b1-i34 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s4 Test1_g4-b1-i13 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s1 Test1_g4-b1-i19 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s4 Test1_g4-b1-i16 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-s1 Test1_g2-b3-s17 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-s1 Test1_g2-b2-s4 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s7 Test1_g4-b1-i43 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-s6 Test1_g4-b1-i2 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s3 Test1_g4-b1-i40 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-s6 Test1_g3-b17-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-s2 Test1_g2-b3-s17 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s1 Test1_g2-b7-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s10 Test1_g2-b3-s13 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s5 Test1_g4-b1-i24 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s14 Test1_g4-b1-i2 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-s5 Test1_g4-b1-i38 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s4 Test1_g4-b1-i39 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
